run_id	n_simulations	c2st_metric_mean
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279529_cfafeea9	20	0.994890034198761
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279543_bd784b04	50	0.9513399004936218
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279553_eee613f9	100	0.8499000668525696
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279562_ab28d97c	200	0.8229100108146667
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279572_65a352d8	500	0.7984000444412231
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279583_155be675	1000	0.8126099705696106
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279592_c73f3a94	10000	0.7441099882125854
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279602_6cdf5cf1	100000	0.8264299631118774
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279612_c0a5aa5d	20	0.9969399571418762
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279621_13e10496	50	0.9538800120353699
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279631_a9c61f0d	100	0.9175099730491638
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279641_b19194a0	200	0.8486800193786621
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279651_1d64f404	500	0.7819700241088867
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279660_509b6a09	1000	0.7839900255203247
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279670_09c9929e	10000	0.7717100381851196
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279680_b0d145ae	100000	0.8326200842857361
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279780_fb39337f	20	0.9916900992393494
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279790_32ebc2b0	50	0.9262499809265137
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279799_2e6aaef9	100	0.934999942779541
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279809_78d1b379	200	0.8469400405883789
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279819_fafec677	500	0.7819299697875977
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279829_7773720c	1000	0.7955099940299988
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279839_78d7f990	10000	0.7531000375747681
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279849_e98d013f	100000	0.7524300217628479
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279858_61e0452e	20	0.9938599467277527
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279868_90b0a8bd	50	0.9731200337409973
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279878_a63ca6d0	100	0.9158000349998474
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279887_53de025e	200	0.8961100578308105
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279897_2f9ce3d9	500	0.7873499989509583
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279907_ed056acc	1000	0.7703100442886353
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279917_96beb991	10000	0.7567999958992004
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279927_a8e9b8aa	100000	0.7374899983406067
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279938_0d774d56	20	0.9801499247550964
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279947_c456be94	50	0.9513700604438782
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279957_5e6118b9	100	0.9147199988365173
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279967_ae4dc511	200	0.8680899739265442
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279977_98c95e8d	500	0.7978000044822693
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279986_b4c1a001	1000	0.7563199996948242
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279996_7b0b5963	10000	0.757830023765564
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280006_10d08aaa	100000	0.7661600112915039
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280015_66d9b6db	20	0.9953700304031372
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280025_29feb6f1	50	0.9593901038169861
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280035_5c2d80b6	100	0.8934900164604187
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280045_a3c486a2	200	0.8293899893760681
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280055_c2b8b71d	500	0.7580000162124634
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280065_4b6696f9	1000	0.7874799966812134
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280078_366abe00	10000	0.7436899542808533
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280088_aa207f05	100000	0.7671999931335449
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280098_de84d33f	20	0.9937600493431091
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280108_f97a547b	50	0.9440400004386902
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280118_9721f25e	100	0.8647199869155884
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280128_9051d302	200	0.83992999792099
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280138_f791ac13	500	0.775469958782196
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280148_281a9107	1000	0.7768499851226807
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280159_cb5f8c68	10000	0.7475300431251526
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280244_6163260b	100000	0.7711000442504883
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280273_f11b816e	20	0.9946200251579285
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280282_03986f1e	50	0.9556500315666199
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280290_2648f5d9	100	0.9021798968315125
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280299_9e44fd3d	200	0.8283200263977051
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280307_85f4befd	500	0.7885900139808655
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280315_d7cdf939	1000	0.7693900465965271
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280324_5b2cf2d3	10000	0.8150100111961365
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280332_f21c2609	100000	0.8378100395202637
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280342_d475039c	20	0.9997599720954895
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280350_410eaba2	50	0.9361000061035156
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280358_0b00b052	100	0.9312600493431091
