run_id	n_simulations	c2st_metric_mean
030622_bis_lotvolt_latvar_cprsr_sim_1654290822_7aaf7f02	20	0.9964900016784668
030622_bis_lotvolt_latvar_cprsr_sim_1654290831_db2c7d5c	50	0.9704300165176392
030622_bis_lotvolt_latvar_cprsr_sim_1654290840_8b6c9a6e	100	0.9106699228286743
030622_bis_lotvolt_latvar_cprsr_sim_1654290849_517b1da9	200	0.8436300158500671
030622_bis_lotvolt_latvar_cprsr_sim_1654290859_8285ba37	500	0.776889979839325
030622_bis_lotvolt_latvar_cprsr_sim_1654290868_6ec70cc0	1000	0.7661200761795044
030622_bis_lotvolt_latvar_cprsr_sim_1654290876_03339f94	10000	0.7445999979972839
030622_bis_lotvolt_latvar_cprsr_sim_1654290885_b9a39068	100000	0.7473099827766418
030622_bis_lotvolt_latvar_cprsr_sim_1654290894_d9f58319	20	0.9988700151443481
030622_bis_lotvolt_latvar_cprsr_sim_1654290902_69c7d737	50	0.9782499670982361
030622_bis_lotvolt_latvar_cprsr_sim_1654290911_90af9969	100	0.9575600624084473
030622_bis_lotvolt_latvar_cprsr_sim_1654290919_dacd7da0	200	0.8645899891853333
030622_bis_lotvolt_latvar_cprsr_sim_1654290928_01d24c9a	500	0.7839699983596802
030622_bis_lotvolt_latvar_cprsr_sim_1654290937_03ad827d	1000	0.7549700140953064
030622_bis_lotvolt_latvar_cprsr_sim_1654290946_7c445daf	10000	0.7752800583839417
030622_bis_lotvolt_latvar_cprsr_sim_1654290955_f2f692e3	100000	0.7515299916267395
030622_bis_lotvolt_latvar_cprsr_sim_1654290963_473c4be4	20	0.9983200430870056
030622_bis_lotvolt_latvar_cprsr_sim_1654290972_5ff37b31	50	0.9788200259208679
030622_bis_lotvolt_latvar_cprsr_sim_1654290982_be946c55	100	0.9479600191116333
030622_bis_lotvolt_latvar_cprsr_sim_1654290991_8eaa2c8f	200	0.8242500424385071
030622_bis_lotvolt_latvar_cprsr_sim_1654291000_6668f62e	500	0.7821499705314636
030622_bis_lotvolt_latvar_cprsr_sim_1654291010_49d82782	1000	0.752780020236969
030622_bis_lotvolt_latvar_cprsr_sim_1654291020_84f94acd	10000	0.7308100461959839
030622_bis_lotvolt_latvar_cprsr_sim_1654291029_f8d57b04	100000	0.7485499978065491
030622_bis_lotvolt_latvar_cprsr_sim_1654291037_79acd147	20	0.9992300271987915
030622_bis_lotvolt_latvar_cprsr_sim_1654291046_b78fde2b	50	0.9748700261116028
030622_bis_lotvolt_latvar_cprsr_sim_1654291055_484b0fba	100	0.9241300821304321
030622_bis_lotvolt_latvar_cprsr_sim_1654291064_a4094899	200	0.8546700477600098
030622_bis_lotvolt_latvar_cprsr_sim_1654291073_cccbd4c4	500	0.7842600345611572
030622_bis_lotvolt_latvar_cprsr_sim_1654291082_0237496a	1000	0.7325700521469116
030622_bis_lotvolt_latvar_cprsr_sim_1654291090_d1836e1a	10000	0.8157699704170227
030622_bis_lotvolt_latvar_cprsr_sim_1654291099_7a5d682f	100000	0.7300199866294861
030622_bis_lotvolt_latvar_cprsr_sim_1654291107_0ef99428	20	0.9960500001907349
030622_bis_lotvolt_latvar_cprsr_sim_1654291116_063ceb8f	50	0.9782699942588806
030622_bis_lotvolt_latvar_cprsr_sim_1654291125_2fe61339	100	0.9501700401306152
030622_bis_lotvolt_latvar_cprsr_sim_1654291133_6b2ed932	200	0.8760300874710083
030622_bis_lotvolt_latvar_cprsr_sim_1654291142_d1560db1	500	0.7824500203132629
030622_bis_lotvolt_latvar_cprsr_sim_1654291150_0b8d9f1e	1000	0.7632400393486023
030622_bis_lotvolt_latvar_cprsr_sim_1654291159_ea76a193	10000	0.7545300126075745
030622_bis_lotvolt_latvar_cprsr_sim_1654291169_c97ac2c8	100000	0.7665099501609802
030622_bis_lotvolt_latvar_cprsr_sim_1654291177_a34deed3	20	0.993939995765686
030622_bis_lotvolt_latvar_cprsr_sim_1654291186_584d1b82	50	0.9723500609397888
030622_bis_lotvolt_latvar_cprsr_sim_1654291195_5f299ffe	100	0.9521900415420532
030622_bis_lotvolt_latvar_cprsr_sim_1654291203_05df2eaa	200	0.8890000581741333
030622_bis_lotvolt_latvar_cprsr_sim_1654291212_af7dfb7f	500	0.7883300185203552
030622_bis_lotvolt_latvar_cprsr_sim_1654291221_34b6fbb2	1000	0.7633699774742126
030622_bis_lotvolt_latvar_cprsr_sim_1654291229_4e61f2e6	10000	0.7411100268363953
030622_bis_lotvolt_latvar_cprsr_sim_1654291238_bbb8ef82	100000	0.7586600184440613
030622_bis_lotvolt_latvar_cprsr_sim_1654291246_e5eb591a	20	0.9945400357246399
030622_bis_lotvolt_latvar_cprsr_sim_1654291255_ec7a70f9	50	0.9528099894523621
030622_bis_lotvolt_latvar_cprsr_sim_1654291263_62a5d6d7	100	0.9626700282096863
030622_bis_lotvolt_latvar_cprsr_sim_1654291272_c81e3ddf	200	0.8418200612068176
030622_bis_lotvolt_latvar_cprsr_sim_1654291280_58dd0504	500	0.7615200281143188
030622_bis_lotvolt_latvar_cprsr_sim_1654291289_34ca178e	1000	0.781029999256134
030622_bis_lotvolt_latvar_cprsr_sim_1654291297_f63a7e51	10000	0.7611600160598755
030622_bis_lotvolt_latvar_cprsr_sim_1654291306_325f66c3	100000	0.7495400309562683
030622_bis_lotvolt_latvar_cprsr_sim_1654291315_3c0a2a01	20	0.99208003282547
030622_bis_lotvolt_latvar_cprsr_sim_1654291325_0245d599	50	0.9641600847244263
030622_bis_lotvolt_latvar_cprsr_sim_1654291334_a35f496e	100	0.9566900134086609
030622_bis_lotvolt_latvar_cprsr_sim_1654291343_2092b0a9	200	0.891510009765625
030622_bis_lotvolt_latvar_cprsr_sim_1654291352_293bebc3	500	0.7558900117874146
030622_bis_lotvolt_latvar_cprsr_sim_1654291360_d604fb0c	1000	0.7548500299453735
030622_bis_lotvolt_latvar_cprsr_sim_1654291369_82e60edb	10000	0.7784200310707092
030622_bis_lotvolt_latvar_cprsr_sim_1654291378_4784677a	100000	0.7838500142097473
030622_bis_lotvolt_latvar_cprsr_sim_1654291387_4b7ae8a1	20	0.9931500554084778
030622_bis_lotvolt_latvar_cprsr_sim_1654291395_f02d7e30	50	0.9692800641059875
030622_bis_lotvolt_latvar_cprsr_sim_1654291405_151bcd72	100	0.9433800578117371
030622_bis_lotvolt_latvar_cprsr_sim_1654291413_7bbfee42	200	0.8452699780464172
030622_bis_lotvolt_latvar_cprsr_sim_1654291422_38fda053	500	0.8037300109863281
030622_bis_lotvolt_latvar_cprsr_sim_1654291431_41d6ba1e	1000	0.7836800217628479
030622_bis_lotvolt_latvar_cprsr_sim_1654291439_e5ad2ce3	10000	0.8015400171279907
030622_bis_lotvolt_latvar_cprsr_sim_1654291448_ff46b3bd	100000	0.7382699847221375
030622_bis_lotvolt_latvar_cprsr_sim_1654291457_617c024a	20	0.9965700507164001
030622_bis_lotvolt_latvar_cprsr_sim_1654291466_9cfee4c6	50	0.9232200980186462
030622_bis_lotvolt_latvar_cprsr_sim_1654291475_c146b2be	100	0.9361200332641602
030622_bis_lotvolt_latvar_cprsr_sim_1654291483_4a32bc07	200	0.8640899658203125
030622_bis_lotvolt_latvar_cprsr_sim_1654291492_adaa4b6c	500	0.8037199974060059
030622_bis_lotvolt_latvar_cprsr_sim_1654291501_1b6b7dad	1000	0.8029099702835083
030622_bis_lotvolt_latvar_cprsr_sim_1654291509_8d7d8c02	10000	0.7598699927330017
030622_bis_lotvolt_latvar_cprsr_sim_1654291518_3cbd0a58	100000	0.75506991147995
030622_bis_lotvolt_latvar_cprsr_sim_1654329967_0b865f94	20	0.9964699745178223
030622_bis_lotvolt_latvar_cprsr_sim_1654329976_3c56f932	50	0.9799799919128418
030622_bis_lotvolt_latvar_cprsr_sim_1654329985_4ff56801	100	0.9547800421714783
030622_bis_lotvolt_latvar_cprsr_sim_1654329994_771100ce	200	0.8314299583435059
030622_bis_lotvolt_latvar_cprsr_sim_1654330002_84af2e93	500	0.7910699844360352
030622_bis_lotvolt_latvar_cprsr_sim_1654330011_a391662c	1000	0.8211499452590942
030622_bis_lotvolt_latvar_cprsr_sim_1654330020_0ecb825b	10000	0.7564499974250793
030622_bis_lotvolt_latvar_cprsr_sim_1654330028_46af2a61	100000	0.7340700030326843
030622_bis_lotvolt_latvar_cprsr_sim_1654330037_855b5e84	20	0.99617999792099
030622_bis_lotvolt_latvar_cprsr_sim_1654330046_487a27c1	50	0.9752900004386902
030622_bis_lotvolt_latvar_cprsr_sim_1654330054_4eb68ab0	100	0.9190999865531921
030622_bis_lotvolt_latvar_cprsr_sim_1654330063_08dd0976	200	0.8567900061607361
030622_bis_lotvolt_latvar_cprsr_sim_1654330072_8d1b6760	500	0.7939299941062927
030622_bis_lotvolt_latvar_cprsr_sim_1654330081_570b43d1	1000	0.8331899642944336
030622_bis_lotvolt_latvar_cprsr_sim_1654330089_eebab23c	10000	0.8167999386787415
030622_bis_lotvolt_latvar_cprsr_sim_1654330098_809d7ea4	100000	0.7427499890327454
030622_bis_lotvolt_latvar_cprsr_sim_1654330106_94a93566	20	0.9963700175285339
030622_bis_lotvolt_latvar_cprsr_sim_1654330115_bd340745	50	0.9871599078178406
030622_bis_lotvolt_latvar_cprsr_sim_1654330125_19170dd8	100	0.9269000291824341
030622_bis_lotvolt_latvar_cprsr_sim_1654330133_14109a58	200	0.8197399973869324
030622_bis_lotvolt_latvar_cprsr_sim_1654330141_fefc8ab7	500	0.7976900339126587
030622_bis_lotvolt_latvar_cprsr_sim_1654330150_b832caf4	1000	0.7630300521850586
030622_bis_lotvolt_latvar_cprsr_sim_1654330158_83aa32a4	10000	0.7479600310325623
030622_bis_lotvolt_latvar_cprsr_sim_1654330166_df06c76c	100000	0.7609700560569763
030622_bis_lotvolt_latvar_cprsr_sim_1654330175_5548d844	20	0.9983599781990051
030622_bis_lotvolt_latvar_cprsr_sim_1654330183_957f6eec	50	0.9767100214958191
030622_bis_lotvolt_latvar_cprsr_sim_1654330192_41ed644e	100	0.9276999831199646
030622_bis_lotvolt_latvar_cprsr_sim_1654330200_92e9e0c8	200	0.8396599888801575
030622_bis_lotvolt_latvar_cprsr_sim_1654330209_d10292af	500	0.7635300159454346
