run_id	n_simulations	c2st_metric_mean
100622_lotvolt_without_latvar_newcprsr_sim_1654861183_72fe4d2d	20	0.9954100847244263
100622_lotvolt_without_latvar_newcprsr_sim_1654861192_0ca3ebe7	50	0.9670999646186829
100622_lotvolt_without_latvar_newcprsr_sim_1654861200_2a3a5acc	100	0.9411900639533997
100622_lotvolt_without_latvar_newcprsr_sim_1654861208_6224e14d	200	0.8941499590873718
100622_lotvolt_without_latvar_newcprsr_sim_1654861216_c88f439f	500	0.8502400517463684
100622_lotvolt_without_latvar_newcprsr_sim_1654861224_a4b1da75	1000	0.861329972743988
100622_lotvolt_without_latvar_newcprsr_sim_1654861232_1fa0bfa6	10000	0.864780068397522
100622_lotvolt_without_latvar_newcprsr_sim_1654861240_a2181c1c	100000	0.8822500109672546
100622_lotvolt_without_latvar_newcprsr_sim_1654861248_59bd00dd	20	0.995680034160614
100622_lotvolt_without_latvar_newcprsr_sim_1654861256_1795b723	50	0.9766799807548523
100622_lotvolt_without_latvar_newcprsr_sim_1654861264_a9a9c67c	100	0.9158399701118469
100622_lotvolt_without_latvar_newcprsr_sim_1654861272_47048386	200	0.9035400748252869
100622_lotvolt_without_latvar_newcprsr_sim_1654861280_b2baae16	500	0.8383299708366394
100622_lotvolt_without_latvar_newcprsr_sim_1654861288_8230607b	1000	0.8426500558853149
100622_lotvolt_without_latvar_newcprsr_sim_1654861297_479deb71	10000	0.8549500703811646
100622_lotvolt_without_latvar_newcprsr_sim_1654861305_951db0a1	100000	0.8854700326919556
100622_lotvolt_without_latvar_newcprsr_sim_1654861313_f2ff7528	20	0.9970700144767761
100622_lotvolt_without_latvar_newcprsr_sim_1654861321_2718c86c	50	0.9538299441337585
100622_lotvolt_without_latvar_newcprsr_sim_1654861329_fdb75767	100	0.9050900340080261
100622_lotvolt_without_latvar_newcprsr_sim_1654861337_ec78d6a4	200	0.8831200003623962
100622_lotvolt_without_latvar_newcprsr_sim_1654861345_a9ee0778	500	0.869670033454895
100622_lotvolt_without_latvar_newcprsr_sim_1654861353_240fc6f8	1000	0.8290299773216248
100622_lotvolt_without_latvar_newcprsr_sim_1654861361_309c75e2	10000	0.8844999670982361
100622_lotvolt_without_latvar_newcprsr_sim_1654861369_4cf72096	100000	0.878570020198822
100622_lotvolt_without_latvar_newcprsr_sim_1655103781_c2947eb8	20	0.991100013256073
100622_lotvolt_without_latvar_newcprsr_sim_1655103792_5adc7995	50	0.9500100016593933
100622_lotvolt_without_latvar_newcprsr_sim_1655103800_c93aa165	100	0.943060040473938
100622_lotvolt_without_latvar_newcprsr_sim_1655103808_fd50f4ea	200	0.8960000276565552
100622_lotvolt_without_latvar_newcprsr_sim_1655103816_5d172aea	500	0.866100013256073
100622_lotvolt_without_latvar_newcprsr_sim_1655103824_46a0974d	1000	0.8589300513267517
100622_lotvolt_without_latvar_newcprsr_sim_1655103832_e2ea6e62	10000	0.8414400219917297
100622_lotvolt_without_latvar_newcprsr_sim_1655103840_b3c18aa1	100000	0.8456800580024719
100622_lotvolt_without_latvar_newcprsr_sim_1655103848_dd51eadc	20	0.9976499676704407
100622_lotvolt_without_latvar_newcprsr_sim_1655103856_4eb03e77	50	0.9672999382019043
100622_lotvolt_without_latvar_newcprsr_sim_1655103864_4c2e24a8	100	0.9188400506973267
100622_lotvolt_without_latvar_newcprsr_sim_1655103872_109a90ab	200	0.9105600714683533
100622_lotvolt_without_latvar_newcprsr_sim_1655103881_4852448d	500	0.8888099789619446
100622_lotvolt_without_latvar_newcprsr_sim_1655103897_c65dcdbe	10000	0.8446800112724304
100622_lotvolt_without_latvar_newcprsr_sim_1655103905_5bc0f902	100000	0.8349000215530396
100622_lotvolt_without_latvar_newcprsr_sim_1655103913_7515f5aa	20	0.9998400807380676
100622_lotvolt_without_latvar_newcprsr_sim_1655103922_bd8c2b1f	50	0.9510800242424011
100622_lotvolt_without_latvar_newcprsr_sim_1655103930_cbeef605	100	0.9718999862670898
100622_lotvolt_without_latvar_newcprsr_sim_1655103938_71caeb32	200	0.8964500427246094
100622_lotvolt_without_latvar_newcprsr_sim_1655103946_2b8bf3e7	500	0.862369954586029
100622_lotvolt_without_latvar_newcprsr_sim_1655103954_37b9df97	1000	0.8874199986457825
100622_lotvolt_without_latvar_newcprsr_sim_1655103962_71e0e3f6	10000	0.8596799969673157
100622_lotvolt_without_latvar_newcprsr_sim_1655103970_3b005670	100000	0.8825799822807312
100622_lotvolt_without_latvar_newcprsr_sim_1655103978_8ccc9192	20	0.9894000291824341
100622_lotvolt_without_latvar_newcprsr_sim_1655103987_55e06a3e	50	0.9610599875450134
100622_lotvolt_without_latvar_newcprsr_sim_1655103995_8a67ab08	100	0.9353699684143066
100622_lotvolt_without_latvar_newcprsr_sim_1655104003_0a901513	200	0.9225500226020813
100622_lotvolt_without_latvar_newcprsr_sim_1655104011_29e9a7c9	500	0.858180046081543
100622_lotvolt_without_latvar_newcprsr_sim_1655104020_f9a66c47	1000	0.889270007610321
100622_lotvolt_without_latvar_newcprsr_sim_1655104027_7583fe5a	10000	0.8417100310325623
100622_lotvolt_without_latvar_newcprsr_sim_1655104036_34cab230	100000	0.870710015296936
100622_lotvolt_without_latvar_newcprsr_sim_1655104044_f75ca5c3	20	0.9976800084114075
100622_lotvolt_without_latvar_newcprsr_sim_1655104052_f43102f7	50	0.9752499461174011
100622_lotvolt_without_latvar_newcprsr_sim_1655104060_17bcf7e9	100	0.9350500106811523
100622_lotvolt_without_latvar_newcprsr_sim_1655104069_ccf0f4a5	200	0.8923199772834778
100622_lotvolt_without_latvar_newcprsr_sim_1655104077_e75f8f3e	500	0.8872699737548828
100622_lotvolt_without_latvar_newcprsr_sim_1655104086_fc3faf53	1000	0.8512199521064758
100622_lotvolt_without_latvar_newcprsr_sim_1655104094_9032a09d	10000	0.8858300447463989
100622_lotvolt_without_latvar_newcprsr_sim_1655104102_9443051d	100000	0.8518800735473633
100622_lotvolt_without_latvar_newcprsr_sim_1655104110_0abbea2a	20	0.9978700876235962
100622_lotvolt_without_latvar_newcprsr_sim_1655104119_b7a7bdc0	50	0.9645199775695801
100622_lotvolt_without_latvar_newcprsr_sim_1655104127_534a183d	100	0.9104000329971313
100622_lotvolt_without_latvar_newcprsr_sim_1655104135_df9ebba7	200	0.9105400443077087
100622_lotvolt_without_latvar_newcprsr_sim_1655104144_71f2da61	500	0.8886300325393677
100622_lotvolt_without_latvar_newcprsr_sim_1655104152_a8b4aff8	1000	0.8723199963569641
100622_lotvolt_without_latvar_newcprsr_sim_1655104160_1211b9c7	10000	0.8716199994087219
100622_lotvolt_without_latvar_newcprsr_sim_1655104168_0cc35625	100000	0.8904600143432617
100622_lotvolt_without_latvar_newcprsr_sim_1655104176_403c1e34	20	0.9997699856758118
100622_lotvolt_without_latvar_newcprsr_sim_1655104184_d4716892	50	0.9477700591087341
100622_lotvolt_without_latvar_newcprsr_sim_1655104193_5a0df047	100	0.9261400103569031
100622_lotvolt_without_latvar_newcprsr_sim_1655104201_d92177a5	200	0.9020199775695801
100622_lotvolt_without_latvar_newcprsr_sim_1655104209_f015fdc0	500	0.8721799850463867
100622_lotvolt_without_latvar_newcprsr_sim_1655104218_98c8cccd	1000	0.8802599906921387
100622_lotvolt_without_latvar_newcprsr_sim_1655104226_0fb47cc6	10000	0.8501500487327576
100622_lotvolt_without_latvar_newcprsr_sim_1655104234_d9a0ebf2	100000	0.8669600486755371
100622_lotvolt_without_latvar_newcprsr_sim_1655104242_58142778	20	0.9994099736213684
100622_lotvolt_without_latvar_newcprsr_sim_1655104250_3c101145	50	0.9776800274848938
100622_lotvolt_without_latvar_newcprsr_sim_1655104258_e4675c9b	100	0.9729400873184204
100622_lotvolt_without_latvar_newcprsr_sim_1655104266_97c4e6b8	200	0.8765000700950623
100622_lotvolt_without_latvar_newcprsr_sim_1655104273_2962ebd6	500	0.8579300045967102
100622_lotvolt_without_latvar_newcprsr_sim_1655104281_05740a53	1000	0.878339946269989
100622_lotvolt_without_latvar_newcprsr_sim_1655104289_3d7ccb5e	10000	0.8635600209236145
100622_lotvolt_without_latvar_newcprsr_sim_1655104297_05577fdc	100000	0.8546199798583984
100622_lotvolt_without_latvar_newcprsr_sim_1655104619_3f0d5a5c	20	0.9996000528335571
100622_lotvolt_without_latvar_newcprsr_sim_1655104627_49539059	50	0.9691800475120544
100622_lotvolt_without_latvar_newcprsr_sim_1655104635_52e022bd	100	0.9089800119400024
100622_lotvolt_without_latvar_newcprsr_sim_1655104644_e86a0ad6	200	0.8755800127983093
100622_lotvolt_without_latvar_newcprsr_sim_1655104652_551c9847	500	0.9132100343704224
100622_lotvolt_without_latvar_newcprsr_sim_1655104660_fe799a12	1000	0.8732600212097168
100622_lotvolt_without_latvar_newcprsr_sim_1655104668_d8ea062f	10000	0.8633400201797485
100622_lotvolt_without_latvar_newcprsr_sim_1655104676_5847446f	100000	0.8636299967765808
100622_lotvolt_without_latvar_newcprsr_sim_1655104684_075217e2	20	0.9982799887657166
100622_lotvolt_without_latvar_newcprsr_sim_1655104692_a1f69807	50	0.9711100459098816
100622_lotvolt_without_latvar_newcprsr_sim_1655104700_efcd78fc	100	0.943630039691925
100622_lotvolt_without_latvar_newcprsr_sim_1655104708_8da8442f	200	0.887660026550293
100622_lotvolt_without_latvar_newcprsr_sim_1655104717_6cae0256	500	0.8768700957298279
100622_lotvolt_without_latvar_newcprsr_sim_1655104725_b796c534	1000	0.8449499011039734
100622_lotvolt_without_latvar_newcprsr_sim_1655104733_6580b9c5	10000	0.8695899248123169
100622_lotvolt_without_latvar_newcprsr_sim_1655104742_1bf07608	100000	0.8460701107978821
100622_lotvolt_without_latvar_newcprsr_sim_1655104750_c39be638	20	0.9944999814033508
100622_lotvolt_without_latvar_newcprsr_sim_1655104758_b007d77f	50	0.9711900949478149
100622_lotvolt_without_latvar_newcprsr_sim_1655104766_a9ad88a5	100	0.9100700616836548
100622_lotvolt_without_latvar_newcprsr_sim_1655104775_11557621	200	0.8833200335502625
100622_lotvolt_without_latvar_newcprsr_sim_1655104783_b79b4d80	500	0.8480300903320312
100622_lotvolt_without_latvar_newcprsr_sim_1655104791_1b76289f	1000	0.8619300127029419
100622_lotvolt_without_latvar_newcprsr_sim_1655104799_55764ed8	10000	0.8822900056838989
100622_lotvolt_without_latvar_newcprsr_sim_1655104807_5f1a6ea3	100000	0.8378700613975525
100622_lotvolt_without_latvar_newcprsr_sim_1655104815_f226118b	20	0.9938799738883972
100622_lotvolt_without_latvar_newcprsr_sim_1655104824_98511ff9	50	0.975939929485321
100622_lotvolt_without_latvar_newcprsr_sim_1655104832_f1891fc9	100	0.9313300251960754
100622_lotvolt_without_latvar_newcprsr_sim_1655104841_a7f7013b	200	0.8826200366020203
100622_lotvolt_without_latvar_newcprsr_sim_1655104849_ae7680f2	500	0.8481899499893188
100622_lotvolt_without_latvar_newcprsr_sim_1655104857_a30c1784	1000	0.9009699821472168
100622_lotvolt_without_latvar_newcprsr_sim_1655104865_086b6441	10000	0.870870053768158
100622_lotvolt_without_latvar_newcprsr_sim_1655104873_dfd6ab40	100000	0.8682700395584106
100622_lotvolt_without_latvar_newcprsr_sim_1655104881_2770c2d3	20	0.9976599812507629
100622_lotvolt_without_latvar_newcprsr_sim_1655104889_48c47dc0	50	0.9587999582290649
100622_lotvolt_without_latvar_newcprsr_sim_1655104897_62054de7	100	0.8996100425720215
100622_lotvolt_without_latvar_newcprsr_sim_1655104905_c09509f5	200	0.8845199942588806
100622_lotvolt_without_latvar_newcprsr_sim_1655104913_1421834c	500	0.9004999995231628
100622_lotvolt_without_latvar_newcprsr_sim_1655104921_8de94325	1000	0.8692899942398071
100622_lotvolt_without_latvar_newcprsr_sim_1655104929_8f33aa73	10000	0.8495100140571594
100622_lotvolt_without_latvar_newcprsr_sim_1655104937_f42c6913	100000	0.87117999792099
100622_lotvolt_without_latvar_newcprsr_sim_1655104945_f4d222f8	20	0.9987099766731262
100622_lotvolt_without_latvar_newcprsr_sim_1655104965_15355f75	100	0.9105100035667419
100622_lotvolt_without_latvar_newcprsr_sim_1655104973_6ba7453f	200	0.858210027217865
100622_lotvolt_without_latvar_newcprsr_sim_1655104981_4b109fe9	500	0.8707000017166138
100622_lotvolt_without_latvar_newcprsr_sim_1655104989_3155eb06	1000	0.9035599827766418
100622_lotvolt_without_latvar_newcprsr_sim_1655104997_d6d32d1e	10000	0.8613999485969543
100622_lotvolt_without_latvar_newcprsr_sim_1655105005_60bebe19	100000	0.8541600108146667
100622_lotvolt_without_latvar_newcprsr_sim_1655105013_f06fec42	20	0.9943499565124512
100622_lotvolt_without_latvar_newcprsr_sim_1655105021_ad62aded	50	0.968220055103302
100622_lotvolt_without_latvar_newcprsr_sim_1655105029_feb7056b	100	0.930910050868988
100622_lotvolt_without_latvar_newcprsr_sim_1655105038_e92b353c	200	0.8959900140762329
100622_lotvolt_without_latvar_newcprsr_sim_1655105046_8ad9f72c	500	0.8646799921989441
100622_lotvolt_without_latvar_newcprsr_sim_1655105053_88cd0a2f	1000	0.8875200152397156
100622_lotvolt_without_latvar_newcprsr_sim_1655105061_258bb0c4	10000	0.8505800366401672
100622_lotvolt_without_latvar_newcprsr_sim_1655105069_ae9f23c4	100000	0.8474699854850769
100622_lotvolt_without_latvar_newcprsr_sim_1655105077_e573d750	20	0.9990000128746033
100622_lotvolt_without_latvar_newcprsr_sim_1655105085_4a497b25	50	0.9772500395774841
100622_lotvolt_without_latvar_newcprsr_sim_1655105093_9085ec22	100	0.9137000441551208
100622_lotvolt_without_latvar_newcprsr_sim_1655105100_62412df6	200	0.9143900275230408
100622_lotvolt_without_latvar_newcprsr_sim_1655105108_c232cbaa	500	0.855709969997406
100622_lotvolt_without_latvar_newcprsr_sim_1655105116_b9fdd67f	1000	0.8668400049209595
100622_lotvolt_without_latvar_newcprsr_sim_1655105126_4a370af4	10000	0.8476700186729431
100622_lotvolt_without_latvar_newcprsr_sim_1655105134_7f3b00bd	100000	0.8544999957084656
100622_lotvolt_without_latvar_newcprsr_sim_1655105142_8575feb0	20	0.9985599517822266
100622_lotvolt_without_latvar_newcprsr_sim_1655105149_674f0e59	50	0.975369930267334
100622_lotvolt_without_latvar_newcprsr_sim_1655105157_fb2e0414	100	0.9422699809074402
100622_lotvolt_without_latvar_newcprsr_sim_1655105165_d9e02def	200	0.8717700242996216
100622_lotvolt_without_latvar_newcprsr_sim_1655105172_6b6b46ed	500	0.8756800889968872
100622_lotvolt_without_latvar_newcprsr_sim_1655105180_f7622c9c	1000	0.8943399786949158
100622_lotvolt_without_latvar_newcprsr_sim_1655105188_dc87552b	10000	0.8739100694656372
100622_lotvolt_without_latvar_newcprsr_sim_1655105196_2ddc2767	100000	0.8453299403190613
