run_id	n_simulations	c2st_metric_mean
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860150_ef01f3b1	20	0.9942299723625183
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860160_f50bae4f	50	0.9444400072097778
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860168_3401f05f	100	0.910860002040863
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860176_21e722fc	200	0.9112699627876282
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860184_c7dc8141	500	0.8924700021743774
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860193_73c59da0	1000	0.9020099639892578
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860201_d7c2ece2	10000	0.8791700601577759
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860209_8e35684b	100000	0.8854600191116333
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860217_f8f9bbf9	20	0.991569995880127
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860225_da5165a1	50	0.940730094909668
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860233_ca61fddd	100	0.9369199872016907
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860242_3b2d065a	200	0.9248299598693848
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860250_d3736ab2	500	0.9252199530601501
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860257_7fb6a291	1000	0.899429976940155
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860265_d8b41f31	10000	0.8657299876213074
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860274_dec81535	100000	0.9227200746536255
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860282_d500b301	20	0.9700499773025513
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860290_dd83832a	50	0.9516300559043884
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860298_22dc41c5	100	0.9306100010871887
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860306_47ebeb1f	200	0.927560031414032
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860314_422d9406	500	0.8648900389671326
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860322_291a6fbd	1000	0.867060124874115
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860331_3741ba02	10000	0.8768500685691833
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860339_26c91ab1	100000	0.891819953918457
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106094_2b7661e3	20	0.9957599639892578
