run_id	n_simulations	nlp
lotvolt_latvar_cprsr_sim_score_3_1652876812_1cd3e4eb	20	1.2735241651535034
lotvolt_latvar_cprsr_sim_score_3_1652876822_94560b48	20	5.679156303405762
lotvolt_latvar_cprsr_sim_score_3_1652876830_ab5cbc59	20	11.073684692382812
lotvolt_latvar_cprsr_sim_score_3_1652876838_804f253f	20	19.350690841674805
lotvolt_latvar_cprsr_sim_score_3_1652876846_a07ca39f	20	9.893183708190918
lotvolt_latvar_cprsr_sim_score_3_1652876854_5b10ae59	50	-1.167834997177124
lotvolt_latvar_cprsr_sim_score_3_1652876862_74e58d68	50	-1.3415555953979492
lotvolt_latvar_cprsr_sim_score_3_1652876870_ade5d3a2	50	-1.6021684408187866
lotvolt_latvar_cprsr_sim_score_3_1652876878_7f592518	50	-3.098961114883423
lotvolt_latvar_cprsr_sim_score_3_1652876886_bc0d8975	50	-0.1554376482963562
lotvolt_latvar_cprsr_sim_score_3_1652876893_807e2a45	100	-6.088259220123291
lotvolt_latvar_cprsr_sim_score_3_1652876901_6409daa9	100	-6.867478370666504
lotvolt_latvar_cprsr_sim_score_3_1652876909_616878db	100	-6.738585948944092
lotvolt_latvar_cprsr_sim_score_3_1652876917_80553a22	100	-7.901473522186279
lotvolt_latvar_cprsr_sim_score_3_1652876925_7813d28e	100	-5.6025471687316895
lotvolt_latvar_cprsr_sim_score_3_1652876933_e54757e9	200	-10.555617332458496
lotvolt_latvar_cprsr_sim_score_3_1652876940_04ce766e	200	-10.760467529296875
lotvolt_latvar_cprsr_sim_score_3_1652876950_0329db05	200	-10.075522422790527
lotvolt_latvar_cprsr_sim_score_3_1652876957_c1d435f1	200	-10.716192245483398
lotvolt_latvar_cprsr_sim_score_3_1652876965_66de603e	200	-10.370206832885742
lotvolt_latvar_cprsr_sim_score_3_1652876973_fe3f8f4d	500	-11.847541809082031
lotvolt_latvar_cprsr_sim_score_3_1652876981_67a0008a	500	-12.122674942016602
lotvolt_latvar_cprsr_sim_score_3_1652876989_56d56545	500	-12.324224472045898
lotvolt_latvar_cprsr_sim_score_3_1652876996_48909cf3	500	-12.033400535583496
lotvolt_latvar_cprsr_sim_score_3_1652877004_9b425873	500	-12.093585968017578
lotvolt_latvar_cprsr_sim_score_3_1652877012_91909b3a	1000	-12.604862213134766
lotvolt_latvar_cprsr_sim_score_3_1652877020_040fcee5	1000	-12.621259689331055
lotvolt_latvar_cprsr_sim_score_3_1652877028_c9f24228	1000	-12.838930130004883
lotvolt_latvar_cprsr_sim_score_3_1652877035_2affe24c	1000	-12.942468643188477
lotvolt_latvar_cprsr_sim_score_3_1652877043_31e993a2	1000	-12.464544296264648
lotvolt_latvar_cprsr_sim_score_3_1652877050_5203928f	10000	-13.349508285522461
lotvolt_latvar_cprsr_sim_score_3_1652877058_1f538b7d	10000	-13.3037109375
lotvolt_latvar_cprsr_sim_score_3_1652877066_33d89888	10000	-13.330081939697266
lotvolt_latvar_cprsr_sim_score_3_1652877074_c193f509	10000	-13.384594917297363
lotvolt_latvar_cprsr_sim_score_3_1652877081_b29aac6f	10000	-13.318266868591309
lotvolt_latvar_cprsr_sim_score_3_1652877089_ae53e40f	100000	-13.372036933898926
lotvolt_latvar_cprsr_sim_score_3_1652877097_fc3094d1	100000	-13.37641429901123
lotvolt_latvar_cprsr_sim_score_3_1652877105_7c944f83	100000	-13.376959800720215
lotvolt_latvar_cprsr_sim_score_3_1652877113_1acaa41b	100000	-13.399250030517578
lotvolt_latvar_cprsr_sim_score_3_1652877121_88af0dcd	100000	-13.206572532653809
