run_id	n_simulations	nlp
lotvolt_cprsr_sim__5_1652985123_5851e02b	20	24.197460174560547
lotvolt_cprsr_sim__5_1652985134_812a13f7	20	32.04795455932617
lotvolt_cprsr_sim__5_1652985141_f2a4ee2c	20	11.448503494262695
lotvolt_cprsr_sim__5_1652985149_168d3c8b	20	10.868547439575195
lotvolt_cprsr_sim__5_1652985157_91ed65da	20	21.35988998413086
lotvolt_cprsr_sim__5_1652985165_d5d8562e	50	11.413442611694336
lotvolt_cprsr_sim__5_1652985173_157f4f11	50	0.05647158995270729
lotvolt_cprsr_sim__5_1652985182_0c347d0d	50	5.738656044006348
lotvolt_cprsr_sim__5_1652985190_e065b32c	50	-0.9866107702255249
lotvolt_cprsr_sim__5_1652985200_04ef14d7	50	3.975564479827881
lotvolt_cprsr_sim__5_1652985209_5838038f	100	-6.217909812927246
lotvolt_cprsr_sim__5_1652985217_9ec45583	100	-5.587554454803467
lotvolt_cprsr_sim__5_1652985226_b0ea8a56	100	-5.1327619552612305
lotvolt_cprsr_sim__5_1652985236_34cb2251	100	-5.0408549308776855
lotvolt_cprsr_sim__5_1652985245_90d7f6a5	100	-5.299838542938232
lotvolt_cprsr_sim__5_1652985253_079b9717	200	-11.915565490722656
lotvolt_cprsr_sim__5_1652985260_4c08de37	200	-11.636934280395508
lotvolt_cprsr_sim__5_1652985268_9a8f19c9	200	-11.35317325592041
lotvolt_cprsr_sim__5_1652985276_6234766a	200	-11.328888893127441
lotvolt_cprsr_sim__5_1652985284_b8274bc3	200	-12.317239761352539
lotvolt_cprsr_sim__5_1652985292_ad22b0df	500	-13.822864532470703
lotvolt_cprsr_sim__5_1652985300_587dd03a	500	-13.803627014160156
lotvolt_cprsr_sim__5_1652985307_886f65db	500	-13.5223388671875
lotvolt_cprsr_sim__5_1652985315_9532b264	500	-13.874929428100586
lotvolt_cprsr_sim__5_1652985323_44adf57f	500	-14.086856842041016
lotvolt_cprsr_sim__5_1652985331_2bad538a	1000	-14.319524765014648
lotvolt_cprsr_sim__5_1652985339_afe8ddfd	1000	-14.595674514770508
lotvolt_cprsr_sim__5_1652985347_4bafaa68	1000	-14.56447982788086
