run_id	n_simulations	nlp
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279529_cfafeea9	20	8.826678276062012
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279543_bd784b04	50	-5.5248823165893555
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279553_eee613f9	100	-6.831775665283203
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279562_ab28d97c	200	-10.239923477172852
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279572_65a352d8	500	-12.339164733886719
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279583_155be675	1000	-12.934057235717773
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279592_c73f3a94	10000	-13.336987495422363
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279602_6cdf5cf1	100000	-13.190360069274902
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279612_c0a5aa5d	20	10.318641662597656
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279621_13e10496	50	-0.36118459701538086
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279631_a9c61f0d	100	-7.186857223510742
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279641_b19194a0	200	-9.936436653137207
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279651_1d64f404	500	-12.430278778076172
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279660_509b6a09	1000	-12.961824417114258
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279670_09c9929e	10000	-13.385452270507812
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279680_b0d145ae	100000	-13.252007484436035
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279780_fb39337f	20	4.219174385070801
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279790_32ebc2b0	50	3.0955986976623535
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279799_2e6aaef9	100	-4.081597805023193
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279809_78d1b379	200	-10.1602783203125
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279819_fafec677	500	-12.304377555847168
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279829_7773720c	1000	-12.859369277954102
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279839_78d7f990	10000	-13.46745491027832
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279849_e98d013f	100000	-13.43995475769043
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279858_61e0452e	20	19.514812469482422
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279868_90b0a8bd	50	-2.478952407836914
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279878_a63ca6d0	100	-7.30194091796875
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279887_53de025e	200	-10.00087833404541
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279897_2f9ce3d9	500	-12.32894515991211
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279907_ed056acc	1000	-13.051002502441406
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279917_96beb991	10000	-13.40914249420166
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279927_a8e9b8aa	100000	-13.373425483703613
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279938_0d774d56	20	11.595824241638184
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279947_c456be94	50	-1.9313445091247559
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279957_5e6118b9	100	-7.036576271057129
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279967_ae4dc511	200	-8.652166366577148
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279977_98c95e8d	500	-12.41123104095459
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279986_b4c1a001	1000	-12.852649688720703
030622_bis_lotvolt_latvar_cprsr_sim_score_1654279996_7b0b5963	10000	-13.52155876159668
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280006_10d08aaa	100000	-13.364143371582031
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280015_66d9b6db	20	24.15338897705078
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280025_29feb6f1	50	-1.7191258668899536
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280035_5c2d80b6	100	-8.358342170715332
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280045_a3c486a2	200	-10.880919456481934
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280055_c2b8b71d	500	-12.644354820251465
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280065_4b6696f9	1000	-12.947853088378906
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280078_366abe00	10000	-13.446191787719727
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280088_aa207f05	100000	-13.52369213104248
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280098_de84d33f	20	8.646809577941895
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280108_f97a547b	50	-2.879509687423706
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280118_9721f25e	100	-6.628023147583008
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280128_9051d302	200	-10.555554389953613
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280138_f791ac13	500	-12.418349266052246
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280148_281a9107	1000	-13.134345054626465
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280159_cb5f8c68	10000	-13.357393264770508
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280244_6163260b	100000	-13.40014362335205
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280273_f11b816e	20	10.282980918884277
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280282_03986f1e	50	3.387943744659424
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280290_2648f5d9	100	-8.050002098083496
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280299_9e44fd3d	200	-10.608687400817871
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280307_85f4befd	500	-12.268397331237793
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280315_d7cdf939	1000	-12.923513412475586
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280324_5b2cf2d3	10000	-13.267014503479004
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280332_f21c2609	100000	-13.1852445602417
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280342_d475039c	20	-0.940760612487793
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280350_410eaba2	50	2.865253448486328
030622_bis_lotvolt_latvar_cprsr_sim_score_1654280358_0b00b052	100	-8.067604064941406
