run_id	n_simulations	nlp
100622_lotvolt_without_latvar_newcprsr_sim_1654861183_72fe4d2d	20	14.698494911193848
100622_lotvolt_without_latvar_newcprsr_sim_1654861192_0ca3ebe7	50	1.504170536994934
100622_lotvolt_without_latvar_newcprsr_sim_1654861200_2a3a5acc	100	-6.566346168518066
100622_lotvolt_without_latvar_newcprsr_sim_1654861208_6224e14d	200	-11.315007209777832
100622_lotvolt_without_latvar_newcprsr_sim_1654861216_c88f439f	500	-14.12913703918457
100622_lotvolt_without_latvar_newcprsr_sim_1654861224_a4b1da75	1000	-14.720359802246094
100622_lotvolt_without_latvar_newcprsr_sim_1654861232_1fa0bfa6	10000	-15.086203575134277
100622_lotvolt_without_latvar_newcprsr_sim_1654861240_a2181c1c	100000	-14.991497993469238
100622_lotvolt_without_latvar_newcprsr_sim_1654861248_59bd00dd	20	17.76888656616211
100622_lotvolt_without_latvar_newcprsr_sim_1654861256_1795b723	50	8.132838249206543
100622_lotvolt_without_latvar_newcprsr_sim_1654861264_a9a9c67c	100	-7.71298360824585
100622_lotvolt_without_latvar_newcprsr_sim_1654861272_47048386	200	-10.758264541625977
100622_lotvolt_without_latvar_newcprsr_sim_1654861280_b2baae16	500	-13.815816879272461
100622_lotvolt_without_latvar_newcprsr_sim_1654861288_8230607b	1000	-14.770028114318848
100622_lotvolt_without_latvar_newcprsr_sim_1654861297_479deb71	10000	-15.130864143371582
100622_lotvolt_without_latvar_newcprsr_sim_1654861305_951db0a1	100000	-14.609797477722168
100622_lotvolt_without_latvar_newcprsr_sim_1654861313_f2ff7528	20	19.077425003051758
100622_lotvolt_without_latvar_newcprsr_sim_1654861321_2718c86c	50	-3.09096622467041
100622_lotvolt_without_latvar_newcprsr_sim_1654861329_fdb75767	100	-7.6507649421691895
100622_lotvolt_without_latvar_newcprsr_sim_1654861337_ec78d6a4	200	-10.865828514099121
100622_lotvolt_without_latvar_newcprsr_sim_1654861345_a9ee0778	500	-14.272388458251953
100622_lotvolt_without_latvar_newcprsr_sim_1654861353_240fc6f8	1000	-14.839189529418945
100622_lotvolt_without_latvar_newcprsr_sim_1654861361_309c75e2	10000	-14.714447021484375
100622_lotvolt_without_latvar_newcprsr_sim_1654861369_4cf72096	100000	-14.994590759277344
100622_lotvolt_without_latvar_newcprsr_sim_1655103781_c2947eb8	20	8.184170722961426
100622_lotvolt_without_latvar_newcprsr_sim_1655103792_5adc7995	50	1.160101056098938
100622_lotvolt_without_latvar_newcprsr_sim_1655103800_c93aa165	100	-7.461722373962402
100622_lotvolt_without_latvar_newcprsr_sim_1655103808_fd50f4ea	200	-12.284195899963379
100622_lotvolt_without_latvar_newcprsr_sim_1655103816_5d172aea	500	-14.078866958618164
100622_lotvolt_without_latvar_newcprsr_sim_1655103824_46a0974d	1000	-14.675202369689941
100622_lotvolt_without_latvar_newcprsr_sim_1655103832_e2ea6e62	10000	-15.045980453491211
100622_lotvolt_without_latvar_newcprsr_sim_1655103840_b3c18aa1	100000	-15.180309295654297
100622_lotvolt_without_latvar_newcprsr_sim_1655103848_dd51eadc	20	11.695012092590332
100622_lotvolt_without_latvar_newcprsr_sim_1655103856_4eb03e77	50	-0.03680530562996864
100622_lotvolt_without_latvar_newcprsr_sim_1655103864_4c2e24a8	100	-7.687532424926758
100622_lotvolt_without_latvar_newcprsr_sim_1655103872_109a90ab	200	-12.456104278564453
100622_lotvolt_without_latvar_newcprsr_sim_1655103881_4852448d	500	-14.133939743041992
100622_lotvolt_without_latvar_newcprsr_sim_1655103897_c65dcdbe	10000	-15.231314659118652
100622_lotvolt_without_latvar_newcprsr_sim_1655103905_5bc0f902	100000	-15.207444190979004
100622_lotvolt_without_latvar_newcprsr_sim_1655103913_7515f5aa	20	20.13833999633789
100622_lotvolt_without_latvar_newcprsr_sim_1655103922_bd8c2b1f	50	2.72808575630188
100622_lotvolt_without_latvar_newcprsr_sim_1655103930_cbeef605	100	-4.527605056762695
100622_lotvolt_without_latvar_newcprsr_sim_1655103938_71caeb32	200	-10.726052284240723
100622_lotvolt_without_latvar_newcprsr_sim_1655103946_2b8bf3e7	500	-13.655309677124023
100622_lotvolt_without_latvar_newcprsr_sim_1655103954_37b9df97	1000	-14.444869995117188
100622_lotvolt_without_latvar_newcprsr_sim_1655103962_71e0e3f6	10000	-15.03350830078125
100622_lotvolt_without_latvar_newcprsr_sim_1655103970_3b005670	100000	-14.884713172912598
100622_lotvolt_without_latvar_newcprsr_sim_1655103978_8ccc9192	20	9.679120063781738
100622_lotvolt_without_latvar_newcprsr_sim_1655103987_55e06a3e	50	4.643606662750244
100622_lotvolt_without_latvar_newcprsr_sim_1655103995_8a67ab08	100	-4.934038162231445
100622_lotvolt_without_latvar_newcprsr_sim_1655104003_0a901513	200	-11.128734588623047
100622_lotvolt_without_latvar_newcprsr_sim_1655104011_29e9a7c9	500	-14.096692085266113
100622_lotvolt_without_latvar_newcprsr_sim_1655104020_f9a66c47	1000	-14.46665096282959
100622_lotvolt_without_latvar_newcprsr_sim_1655104027_7583fe5a	10000	-15.220572471618652
100622_lotvolt_without_latvar_newcprsr_sim_1655104036_34cab230	100000	-14.98465633392334
100622_lotvolt_without_latvar_newcprsr_sim_1655104044_f75ca5c3	20	22.430078506469727
100622_lotvolt_without_latvar_newcprsr_sim_1655104052_f43102f7	50	7.205887317657471
100622_lotvolt_without_latvar_newcprsr_sim_1655104060_17bcf7e9	100	-2.0616955757141113
100622_lotvolt_without_latvar_newcprsr_sim_1655104069_ccf0f4a5	200	-11.635109901428223
100622_lotvolt_without_latvar_newcprsr_sim_1655104077_e75f8f3e	500	-13.680232048034668
100622_lotvolt_without_latvar_newcprsr_sim_1655104086_fc3faf53	1000	-14.61462116241455
100622_lotvolt_without_latvar_newcprsr_sim_1655104094_9032a09d	10000	-14.635677337646484
100622_lotvolt_without_latvar_newcprsr_sim_1655104102_9443051d	100000	-15.079747200012207
100622_lotvolt_without_latvar_newcprsr_sim_1655104110_0abbea2a	20	14.181705474853516
100622_lotvolt_without_latvar_newcprsr_sim_1655104119_b7a7bdc0	50	-0.7186763286590576
100622_lotvolt_without_latvar_newcprsr_sim_1655104127_534a183d	100	-7.229074954986572
100622_lotvolt_without_latvar_newcprsr_sim_1655104135_df9ebba7	200	-12.011590957641602
100622_lotvolt_without_latvar_newcprsr_sim_1655104144_71f2da61	500	-14.20406436920166
100622_lotvolt_without_latvar_newcprsr_sim_1655104152_a8b4aff8	1000	-14.501654624938965
100622_lotvolt_without_latvar_newcprsr_sim_1655104160_1211b9c7	10000	-14.83035945892334
100622_lotvolt_without_latvar_newcprsr_sim_1655104168_0cc35625	100000	-14.803139686584473
100622_lotvolt_without_latvar_newcprsr_sim_1655104176_403c1e34	20	29.778974533081055
100622_lotvolt_without_latvar_newcprsr_sim_1655104184_d4716892	50	1.2234700918197632
100622_lotvolt_without_latvar_newcprsr_sim_1655104193_5a0df047	100	-6.405843734741211
100622_lotvolt_without_latvar_newcprsr_sim_1655104201_d92177a5	200	-11.388132095336914
100622_lotvolt_without_latvar_newcprsr_sim_1655104209_f015fdc0	500	-13.926856994628906
100622_lotvolt_without_latvar_newcprsr_sim_1655104218_98c8cccd	1000	-14.511112213134766
100622_lotvolt_without_latvar_newcprsr_sim_1655104226_0fb47cc6	10000	-15.071619987487793
100622_lotvolt_without_latvar_newcprsr_sim_1655104234_d9a0ebf2	100000	-15.098624229431152
100622_lotvolt_without_latvar_newcprsr_sim_1655104242_58142778	20	24.295623779296875
100622_lotvolt_without_latvar_newcprsr_sim_1655104250_3c101145	50	-3.052391529083252
100622_lotvolt_without_latvar_newcprsr_sim_1655104258_e4675c9b	100	-6.710799694061279
100622_lotvolt_without_latvar_newcprsr_sim_1655104266_97c4e6b8	200	-12.254372596740723
100622_lotvolt_without_latvar_newcprsr_sim_1655104273_2962ebd6	500	-14.227994918823242
100622_lotvolt_without_latvar_newcprsr_sim_1655104281_05740a53	1000	-14.104316711425781
100622_lotvolt_without_latvar_newcprsr_sim_1655104289_3d7ccb5e	10000	-15.199577331542969
100622_lotvolt_without_latvar_newcprsr_sim_1655104297_05577fdc	100000	-15.217092514038086
100622_lotvolt_without_latvar_newcprsr_sim_1655104619_3f0d5a5c	20	7.488296031951904
100622_lotvolt_without_latvar_newcprsr_sim_1655104627_49539059	50	3.1311957836151123
100622_lotvolt_without_latvar_newcprsr_sim_1655104635_52e022bd	100	-8.376063346862793
100622_lotvolt_without_latvar_newcprsr_sim_1655104644_e86a0ad6	200	-11.56633472442627
100622_lotvolt_without_latvar_newcprsr_sim_1655104652_551c9847	500	-13.549001693725586
100622_lotvolt_without_latvar_newcprsr_sim_1655104660_fe799a12	1000	-14.567059516906738
100622_lotvolt_without_latvar_newcprsr_sim_1655104668_d8ea062f	10000	-14.904521942138672
