run_id	n_simulations	nlp
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860150_ef01f3b1	20	9.755842208862305
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860160_f50bae4f	50	-1.593342900276184
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860168_3401f05f	100	-8.807937622070312
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860176_21e722fc	200	-11.070465087890625
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860184_c7dc8141	500	-13.92929744720459
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860193_73c59da0	1000	-14.389643669128418
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860201_d7c2ece2	10000	-14.959254264831543
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860209_8e35684b	100000	-14.855599403381348
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860217_f8f9bbf9	20	11.66396713256836
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860225_da5165a1	50	6.439413547515869
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860233_ca61fddd	100	-8.321537017822266
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860242_3b2d065a	200	-9.873603820800781
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860250_d3736ab2	500	-12.835319519042969
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860257_7fb6a291	1000	-14.128774642944336
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860265_d8b41f31	10000	-14.9883394241333
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860274_dec81535	100000	-14.015554428100586
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860282_d500b301	20	2.481231212615967
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860290_dd83832a	50	0.6057401895523071
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860298_22dc41c5	100	-6.369124889373779
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860306_47ebeb1f	200	-11.17215633392334
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860314_422d9406	500	-13.913004875183105
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860322_291a6fbd	1000	-14.489017486572266
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860331_3741ba02	10000	-14.83052921295166
100622_lotvolt_without_latvar_newcprsr_sim_score_1654860339_26c91ab1	100000	-14.824307441711426
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106094_2b7661e3	20	13.180983543395996
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106103_266a6dc9	50	4.3136115074157715
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106111_4f5a9a29	100	-7.837933540344238
