run_id	n_simulations	nlp
lotvolt_cprsr_sim_score_5_1652985567_02f04dc0	20	9.223337173461914
lotvolt_cprsr_sim_score_5_1652985575_00269aa0	20	10.155198097229004
lotvolt_cprsr_sim_score_5_1652985583_5fdc94aa	20	11.817887306213379
lotvolt_cprsr_sim_score_5_1652985591_bcb1721b	20	10.879396438598633
lotvolt_cprsr_sim_score_5_1652985598_626c0125	20	16.906330108642578
lotvolt_cprsr_sim_score_5_1652985606_f8b6705e	50	-3.4999446868896484
lotvolt_cprsr_sim_score_5_1652985614_ba00e54d	50	-0.35269835591316223
lotvolt_cprsr_sim_score_5_1652985622_fc0450a5	50	5.54013729095459
lotvolt_cprsr_sim_score_5_1652985630_3fb4f963	50	-0.576250433921814
lotvolt_cprsr_sim_score_5_1652985638_efd59d67	50	-1.399646520614624
lotvolt_cprsr_sim_score_5_1652985646_543fd4b2	100	-7.520331859588623
lotvolt_cprsr_sim_score_5_1652985654_c4f4fe28	100	-7.547881126403809
lotvolt_cprsr_sim_score_5_1652985662_e8cce56f	100	-7.092491149902344
lotvolt_cprsr_sim_score_5_1652985670_4bae469e	100	-8.550779342651367
lotvolt_cprsr_sim_score_5_1652985678_e7c26911	100	-8.094145774841309
lotvolt_cprsr_sim_score_5_1652985686_8816055c	200	-11.282393455505371
lotvolt_cprsr_sim_score_5_1652985694_798fc2e4	200	-11.190657615661621
lotvolt_cprsr_sim_score_5_1652985702_1e5b19d6	200	-10.599881172180176
lotvolt_cprsr_sim_score_5_1652985710_f2c6cfdf	200	-11.480047225952148
lotvolt_cprsr_sim_score_5_1652985718_c2c32d05	200	-11.43256950378418
lotvolt_cprsr_sim_score_5_1652985726_a400cc3b	500	-13.959931373596191
lotvolt_cprsr_sim_score_5_1652985734_fd3df8ae	500	-13.793754577636719
lotvolt_cprsr_sim_score_5_1652985744_ec4227e6	500	-13.785104751586914
lotvolt_cprsr_sim_score_5_1652985753_06e914d9	500	-13.962197303771973
lotvolt_cprsr_sim_score_5_1652985761_9ce92bdf	500	-13.982635498046875
lotvolt_cprsr_sim_score_5_1652985769_cea8a1ae	1000	-14.360054969787598
lotvolt_cprsr_sim_score_5_1652985776_2f18b7e9	1000	-14.349189758300781
lotvolt_cprsr_sim_score_5_1652985784_77a64e6d	1000	-14.217214584350586
lotvolt_cprsr_sim_score_5_1652985792_cd13d77e	1000	-14.215917587280273
lotvolt_cprsr_sim_score_5_1652985800_78d96108	1000	-13.774928092956543
lotvolt_cprsr_sim_score_5_1652985808_1821a9f9	10000	-14.900257110595703
lotvolt_cprsr_sim_score_5_1652985816_09c371b8	10000	-14.859139442443848
lotvolt_cprsr_sim_score_5_1652985824_b4be3a8e	10000	-14.945457458496094
lotvolt_cprsr_sim_score_5_1652985831_5e1c4989	10000	-14.694395065307617
lotvolt_cprsr_sim_score_5_1652985839_1c776cb5	10000	-14.610647201538086
lotvolt_cprsr_sim_score_5_1652985847_1e761d27	100000	-14.878830909729004
lotvolt_cprsr_sim_score_5_1652985855_251e0f75	100000	-14.647782325744629
lotvolt_cprsr_sim_score_5_1652985863_33f3709c	100000	-14.966727256774902
lotvolt_cprsr_sim_score_5_1652985870_6a237248	100000	-14.982894897460938
lotvolt_cprsr_sim_score_5_1652985878_72df50dc	100000	-14.662479400634766
lotvolt_cprsr_sim_score_5_1652991580_51d0511f	20	17.5645809173584
lotvolt_cprsr_sim_score_5_1652991589_58867d2e	20	14.109618186950684
lotvolt_cprsr_sim_score_5_1652991597_d242f196	20	15.442566871643066
lotvolt_cprsr_sim_score_5_1652991605_72835ca7	20	21.511274337768555
lotvolt_cprsr_sim_score_5_1652991613_6267bc08	20	6.42349100112915
lotvolt_cprsr_sim_score_5_1652991621_efcd5817	50	1.8695324659347534
lotvolt_cprsr_sim_score_5_1652991628_9c0b20b8	50	-1.7723430395126343
lotvolt_cprsr_sim_score_5_1652991636_b6a371a9	50	3.6418521404266357
lotvolt_cprsr_sim_score_5_1652991644_fd495bfc	50	1.1957334280014038
lotvolt_cprsr_sim_score_5_1652991651_32a7c262	50	-2.2256734371185303
lotvolt_cprsr_sim_score_5_1652991659_6b0c5736	100	-4.399631023406982
lotvolt_cprsr_sim_score_5_1652991667_0e9d295b	100	-8.8013916015625
lotvolt_cprsr_sim_score_5_1652991675_fd2852f5	100	-4.3608717918396
lotvolt_cprsr_sim_score_5_1652991682_1704e2fd	100	-8.675890922546387
lotvolt_cprsr_sim_score_5_1652991690_84ab1949	100	-6.586392402648926
lotvolt_cprsr_sim_score_5_1652991697_576ad7eb	200	-10.587137222290039
lotvolt_cprsr_sim_score_5_1652991705_04072a80	200	-11.793429374694824
lotvolt_cprsr_sim_score_5_1652991713_f71f1e22	200	-11.35198974609375
lotvolt_cprsr_sim_score_5_1652991722_e01a53c8	200	-11.806068420410156
lotvolt_cprsr_sim_score_5_1652991729_7ac58222	200	-11.519314765930176
lotvolt_cprsr_sim_score_5_1652991737_d6ebcb4e	500	-13.94682502746582
lotvolt_cprsr_sim_score_5_1652991745_6014a7b4	500	-13.640399932861328
lotvolt_cprsr_sim_score_5_1652991753_a5335642	500	-13.436182022094727
lotvolt_cprsr_sim_score_5_1652991761_cbfdefd9	500	-13.447163581848145
lotvolt_cprsr_sim_score_5_1652991769_fde1ffdb	500	-13.824236869812012
lotvolt_cprsr_sim_score_5_1652991777_358746b0	1000	-14.49346923828125
lotvolt_cprsr_sim_score_5_1652991785_af21f4f5	1000	-14.477179527282715
lotvolt_cprsr_sim_score_5_1652991792_e1e61281	1000	-14.455794334411621
lotvolt_cprsr_sim_score_5_1652991800_f8465745	1000	-14.173904418945312
lotvolt_cprsr_sim_score_5_1652991808_9bf08358	1000	-14.233317375183105
lotvolt_cprsr_sim_score_5_1652991817_782123ac	10000	-14.589414596557617
lotvolt_cprsr_sim_score_5_1652991825_d3783e47	10000	-14.976917266845703
lotvolt_cprsr_sim_score_5_1652991833_73245191	10000	-14.93570327758789
lotvolt_cprsr_sim_score_5_1652991840_09f75067	10000	-14.536786079406738
lotvolt_cprsr_sim_score_5_1652991848_b1af59aa	10000	-14.739850044250488
lotvolt_cprsr_sim_score_5_1652991856_c8626cdf	100000	-14.6589994430542
lotvolt_cprsr_sim_score_5_1652991864_e2ff95e6	100000	-14.842068672180176
lotvolt_cprsr_sim_score_5_1652991872_8281bb82	100000	-15.043254852294922
lotvolt_cprsr_sim_score_5_1652991880_25ed4740	100000	-14.437714576721191
lotvolt_cprsr_sim_score_5_1652991888_e7c0b7a8	100000	-14.814159393310547
lotvolt_cprsr_sim_score_5_1653031012_1c9967dd	20	4.069031238555908
lotvolt_cprsr_sim_score_5_1653031022_4e71ff1e	20	14.785820960998535
lotvolt_cprsr_sim_score_5_1653031030_dc9ef222	20	16.677289962768555
lotvolt_cprsr_sim_score_5_1653031038_c3401cea	20	21.067249298095703
lotvolt_cprsr_sim_score_5_1653031046_a1968988	20	13.923287391662598
lotvolt_cprsr_sim_score_5_1653031053_2c1cd518	50	0.7988082766532898
lotvolt_cprsr_sim_score_5_1653031061_c1ef69fd	50	-2.801270008087158
lotvolt_cprsr_sim_score_5_1653031069_84e736c3	50	-2.591179847717285
lotvolt_cprsr_sim_score_5_1653031076_b4af3483	50	-2.7066292762756348
lotvolt_cprsr_sim_score_5_1653031084_afc7feeb	50	3.4296720027923584
lotvolt_cprsr_sim_score_5_1653031092_0325f431	100	-7.824723720550537
lotvolt_cprsr_sim_score_5_1653031100_5f6d1d33	100	-6.628455638885498
lotvolt_cprsr_sim_score_5_1653031107_94a81b03	100	-8.790281295776367
lotvolt_cprsr_sim_score_5_1653031115_f0cbe509	100	-7.645183086395264
lotvolt_cprsr_sim_score_5_1653031122_4b1f1669	100	-7.33942985534668
lotvolt_cprsr_sim_score_5_1653031130_e7424903	200	-12.131818771362305
lotvolt_cprsr_sim_score_5_1653031144_974d2b05	200	-11.866805076599121
lotvolt_cprsr_sim_score_5_1653031151_ad1389d0	200	-10.158136367797852
lotvolt_cprsr_sim_score_5_1653031159_00aa2ebc	200	-11.769302368164062
lotvolt_cprsr_sim_score_5_1653031167_e0c83a96	200	-10.954361915588379
lotvolt_cprsr_sim_score_5_1653031176_c2342da0	500	-13.8734130859375
lotvolt_cprsr_sim_score_5_1653031190_39b109bc	500	-13.802339553833008
lotvolt_cprsr_sim_score_5_1653031197_0a30cd11	500	-13.866327285766602
lotvolt_cprsr_sim_score_5_1653031205_61581663	500	-13.549161911010742
lotvolt_cprsr_sim_score_5_1653031212_eb067c12	500	-13.640687942504883
lotvolt_cprsr_sim_score_5_1653031220_6151724a	1000	-14.287297248840332
lotvolt_cprsr_sim_score_5_1653031228_2ca88b25	1000	-14.369429588317871
lotvolt_cprsr_sim_score_5_1653031235_592a3e1c	1000	-14.424409866333008
lotvolt_cprsr_sim_score_5_1653031243_1cc9824e	1000	-14.322884559631348
lotvolt_cprsr_sim_score_5_1653031251_a118ccf9	1000	-14.4100341796875
lotvolt_cprsr_sim_score_5_1653031258_9e693a2c	10000	-14.920442581176758
lotvolt_cprsr_sim_score_5_1653031266_a0a39575	10000	-14.64768123626709
lotvolt_cprsr_sim_score_5_1653031274_62cff126	10000	-14.881939888000488
lotvolt_cprsr_sim_score_5_1653031282_965812d8	10000	-14.786778450012207
lotvolt_cprsr_sim_score_5_1653031290_ccea5b08	10000	-14.719094276428223
lotvolt_cprsr_sim_score_5_1653031297_9c50f5ad	100000	-14.838737487792969
lotvolt_cprsr_sim_score_5_1653031305_96cd7177	100000	-14.62997055053711
lotvolt_cprsr_sim_score_5_1653031313_ac8e4c64	100000	-14.854248046875
lotvolt_cprsr_sim_score_5_1653031321_447a8e52	100000	-14.467657089233398
lotvolt_cprsr_sim_score_5_1653031329_c8d908ed	100000	-14.896219253540039
